snapshot_id,game_id,game_date,snapshot_created_at,start_time,home_team,away_team,home_win,pipeline_version,snapshot_policy,market_no_vig_home_prob,premarket_model_home_prob,edge_at_prediction_time,odds_source,betting_mode,snapshot_valid,snapshot_invalid_reason,game_status,rating_source,model_source,displayed_home_win_pct,predicted_home_win_pct,manual_no_odds_pred,home_moneyline_odds,away_moneyline_odds,model_edge_home,spread_line,total_line,odds_quality_status,suspicious_odds_reason,bookmaker_quotes_json,market_adjustment_applied,recommendation_status,moneyline_recommendation,spread_recommendation,total_recommendation,home_kelly_fraction,away_kelly_fraction,over_prob,home_cover_prob,away_cover_prob,nrfi_prob,nrfi_recommendation,elo_diff,bt_strength_diff,sp_era_diff,pitcher_rating_diff,dynamic_park_factor,winrate_diff,timezone_diff,sp_fip_diff,sp_csw_diff,sp_stuff_plus_diff,k_pct_diff,bb_pct_diff,bullpen_ip_diff,bullpen_availability_diff,sp_fip_diff_available,sp_csw_diff_available,sp_stuff_plus_diff_available,pitcher_advanced_available,bullpen_context_available,statcast_woba_available,top3_woba_available,weather_available,team_form_available,lineup_context_available,starter_context_available,odds_available,is_day_game,catcher_era_diff,cs_diff,wind_effect,temp_effect,precip_effect,injury_diff,dynamic_pythag_diff,log5_prob,lag30_winrate_diff,lag30_runs_diff,rest_diff,back2back_diff,games_last_3d_diff,games_last_7d_diff,rest_pressure_diff,pitch_movement_diff,avg_bat_speed_diff,odds_change,zone_size,k_rate,elo_momentum_7d,elo_momentum_30d,barrel_pa_diff,hardhit_pa_diff,swing_miss_diff,csw_diff,barrel_bb_pct_diff,sprint_speed_diff,pitch_type_matchup_score,top3_woba_diff,statcast_launch_speed_diff,statcast_barrel_diff,statcast_hard_hit_diff,statcast_woba_diff,platoon_ops_diff,sp_fip_diff_missing,sp_csw_diff_missing,sp_stuff_plus_diff_missing,k_pct_diff_missing,bb_pct_diff_missing,bullpen_ip_diff_missing,bullpen_availability_diff_missing,statcast_woba_diff_missing,statcast_launch_speed_diff_missing,statcast_barrel_diff_missing,statcast_hard_hit_diff_missing,avg_bat_speed_diff_missing,barrel_pa_diff_missing,hardhit_pa_diff_missing,top3_woba_diff_missing,platoon_ops_diff_missing,lag30_winrate_diff_missing,lag30_runs_diff_missing,rest_diff_missing,back2back_diff_missing,games_last_3d_diff_missing,games_last_7d_diff_missing,rest_pressure_diff_missing,wind_effect_missing,temp_effect_missing,precip_effect_missing
baseline_v2_clean:823295,823295,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T20:10:00Z,Padres,Phillies,0,baseline_v2_clean,first_seen_pregame,0.4322,0.3601,-0.0721,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.3673,0.3673,0.3651,2.22,1.69,-0.0721,1.5,7.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":2.22,""away_moneyline_odds"":1.69,""home_spread_line"":1.5,""home_spread_odds"":1.67,""total_line"":7.0,""over_odds"":1.91,""under_odds"":1.91},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":2.23,""away_moneyline_odds"":1.68,""home_spread_line"":1.5,""home_spread_odds"":1.73,""total_line"":7.0,""over_odds"":1.93,""under_odds"":1.89},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":2.18,""away_moneyline_odds"":1.69,""home_spread_line"":1.5,""home_spread_odds"":1.65,""total_line"":7.0,""over_odds"":1.95,""under_odds"":1.87}]",True,PAPER_BET,Phillies ML,Phillies spread,UNDER,0.0,0.0251,0.3724,0.4394,0.5606,,NO DATA,-28.4335,-3.3e-05,3.43,0.0,0.87,0.065,-3.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:824836,824836,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T22:35:00Z,Orioles,Rays,1,baseline_v2_clean,first_seen_pregame,0.4922,0.5231,0.0309,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.52,0.52,0.5281,1.95,1.89,0.0309,1.5,9.0,OK,,"[{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.93,""away_moneyline_odds"":1.89,""home_spread_line"":1.5,""home_spread_odds"":1.57,""total_line"":9.0,""over_odds"":1.93,""under_odds"":1.9},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.95,""away_moneyline_odds"":1.87,""home_spread_line"":1.5,""home_spread_odds"":1.57,""total_line"":9.0,""over_odds"":1.91,""under_odds"":1.91},{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.96,""away_moneyline_odds"":1.89,""home_spread_line"":1.5,""home_spread_odds"":1.56,""total_line"":9.0,""over_odds"":1.91,""under_odds"":1.91}]",True,PAPER_BET,NO BET,NO BET,NO BET,0.0037,0.0,0.5252,0.4678,0.5322,,NO DATA,79.4139,-6.280495,1.7,0.0,1.08,-0.1993,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:824270,824270,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T22:40:00Z,Tigers,Angels,1,baseline_v2_clean,first_seen_pregame,0.5052,0.5967,0.0915,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.5876,0.5876,0.6017,1.89,1.93,0.0915,1.5,7.5,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.89,""away_moneyline_odds"":1.96,""home_spread_line"":1.5,""home_spread_odds"":1.52,""total_line"":7.5,""over_odds"":1.89,""under_odds"":1.93},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.89,""away_moneyline_odds"":1.93,""home_spread_line"":1.5,""home_spread_odds"":1.54,""total_line"":7.5,""over_odds"":1.93,""under_odds"":1.9},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.91,""away_moneyline_odds"":1.91,""home_spread_line"":1.5,""home_spread_odds"":1.53,""total_line"":7.5,""over_odds"":1.91,""under_odds"":1.91}]",True,PAPER_BET,Tigers ML,Tigers spread,UNDER,0.031,0.0,0.1832,0.715,0.285,,NO DATA,96.3374,12.56054,0.03,0.0,0.96,0.0,3.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:823376,823376,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T22:40:00Z,Pirates,Cubs,0,baseline_v2_clean,first_seen_pregame,0.5326,0.4952,-0.0374,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.499,0.499,0.5002,1.79,2.04,-0.0374,-1.5,8.5,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.82,""away_moneyline_odds"":2.04,""home_spread_line"":-1.5,""home_spread_odds"":2.64,""total_line"":8.5,""over_odds"":1.81,""under_odds"":2.02},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.79,""away_moneyline_odds"":2.04,""home_spread_line"":1.5,""home_spread_odds"":1.53,""total_line"":9.0,""over_odds"":1.99,""under_odds"":1.83},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.77,""away_moneyline_odds"":2.05,""home_spread_line"":-1.5,""home_spread_odds"":2.55,""total_line"":8.5,""over_odds"":1.83,""under_odds"":2.0}]",True,PAPER_BET,NO BET,Cubs spread,OVER,0.0,0.0053,0.6626,0.3962,0.6038,,NO DATA,11.6316,12.559637,-0.6,0.0,1.01,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:824756,824756,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T22:45:00Z,Red Sox,Braves,1,baseline_v2_clean,first_seen_pregame,0.517,0.4802,-0.0367,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.4839,0.4839,0.4852,1.85,1.98,-0.0367,1.5,8.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.86,""away_moneyline_odds"":1.98,""home_spread_line"":1.5,""home_spread_odds"":1.52,""total_line"":8.0,""over_odds"":1.83,""under_odds"":1.98},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.85,""away_moneyline_odds"":1.97,""home_spread_line"":1.5,""home_spread_odds"":1.52,""total_line"":8.0,""over_odds"":1.84,""under_odds"":1.99},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.85,""away_moneyline_odds"":1.98,""home_spread_line"":1.5,""home_spread_odds"":1.53,""total_line"":8.0,""over_odds"":1.85,""under_odds"":1.98}]",True,PAPER_BET,NO BET,NO BET,UNDER,0.0,0.0056,0.2062,0.5328,0.4672,,NO DATA,42.1146,-0.000204,1.36,0.0,1.12,-0.2576,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:823626,823626,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T23:10:00Z,Mets,Reds,1,baseline_v2_clean,first_seen_pregame,0.5183,0.4457,-0.0727,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.4529,0.4529,0.4507,1.84,1.98,-0.0727,1.5,8.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.83,""away_moneyline_odds"":2.02,""home_spread_line"":1.5,""home_spread_odds"":1.49,""total_line"":8.5,""over_odds"":2.0,""under_odds"":1.82},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.84,""away_moneyline_odds"":1.98,""home_spread_line"":1.5,""home_spread_odds"":1.54,""total_line"":8.0,""over_odds"":1.84,""under_odds"":1.98},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.85,""away_moneyline_odds"":1.98,""home_spread_line"":1.5,""home_spread_odds"":1.5,""total_line"":8.0,""over_odds"":1.85,""under_odds"":1.98}]",True,PAPER_BET,NO BET,Mets spread,UNDER,0.0,0.0212,0.2096,0.8444,0.1556,,NO DATA,-53.2295,12.549415,-2.24,0.0,0.95,-0.137,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:824596,824596,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T23:40:00Z,White Sox,Twins,1,baseline_v2_clean,first_seen_pregame,0.5,0.547,0.047,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.5423,0.5423,0.552,1.91,1.91,0.047,1.5,7.5,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.93,""away_moneyline_odds"":1.93,""home_spread_line"":1.5,""home_spread_odds"":1.54,""total_line"":7.5,""over_odds"":1.87,""under_odds"":1.95},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.91,""away_moneyline_odds"":1.91,""home_spread_line"":1.5,""home_spread_odds"":1.56,""total_line"":7.5,""over_odds"":1.87,""under_odds"":1.96},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.91,""away_moneyline_odds"":1.91,""home_spread_line"":1.5,""home_spread_odds"":1.53,""total_line"":7.5,""over_odds"":1.85,""under_odds"":1.98}]",True,PAPER_BET,NO BET,White Sox spread,UNDER,0.0098,0.0,0.3466,0.8408,0.1592,,NO DATA,18.6161,-0.000988,-1.99,0.0,1.0,0.0091,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:824104,824104,2026-05-27,2026-05-27T19:34:03Z,2026-05-27T23:40:00Z,Royals,Yankees,0,baseline_v2_clean,first_seen_pregame,0.4091,0.2654,-0.1437,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.2798,0.2798,0.2704,2.34,1.62,-0.1437,1.5,9.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":2.32,""away_moneyline_odds"":1.64,""home_spread_line"":1.5,""home_spread_odds"":1.77,""total_line"":9.0,""over_odds"":2.0,""under_odds"":1.82},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":2.34,""away_moneyline_odds"":1.62,""home_spread_line"":1.5,""home_spread_odds"":1.84,""total_line"":8.5,""over_odds"":1.82,""under_odds"":2.01},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":2.35,""away_moneyline_odds"":1.62,""home_spread_line"":1.5,""home_spread_odds"":1.87,""total_line"":9.0,""over_odds"":2.0,""under_odds"":1.83}]",True,PAPER_BET,Yankees ML,Royals spread,NO BET,0.0,0.0672,0.4792,0.678,0.322,,NO DATA,-98.6845,-6.279952,4.72,0.0,1.03,-0.2,-1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:822897,822897,2026-05-28,2026-05-27T19:34:03Z,2026-05-28T00:05:00Z,Rangers,Astros,0,baseline_v2_clean,first_seen_pregame,0.5656,0.4912,-0.0743,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.4987,0.4987,0.4962,1.69,2.2,-0.0743,-1.5,7.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.68,""away_moneyline_odds"":2.24,""home_spread_line"":-1.5,""home_spread_odds"":2.5,""total_line"":7.5,""over_odds"":2.08,""under_odds"":1.76},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.69,""away_moneyline_odds"":2.19,""home_spread_line"":-1.5,""home_spread_odds"":2.52,""total_line"":7.0,""over_odds"":1.84,""under_odds"":1.98},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.69,""away_moneyline_odds"":2.2,""home_spread_line"":-1.5,""home_spread_odds"":2.55,""total_line"":7.0,""over_odds"":1.83,""under_odds"":2.0}]",True,PAPER_BET,NO BET,Rangers spread,OVER,0.0,0.0214,0.7912,0.574,0.426,,NO DATA,-18.2115,0.000112,-1.89,0.0,1.05,0.0344,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
baseline_v2_clean:823947,823947,2026-05-28,2026-05-27T19:34:03Z,2026-05-28T02:10:00Z,Dodgers,Rockies,1,baseline_v2_clean,first_seen_pregame,0.7737,0.927,0.1532,"BetMGM, DraftKings, FanDuel",paper_trading,True,,Preview,elo,manual,0.9116,0.9116,0.932,1.24,4.24,0.1532,-1.5,8.0,OK,,"[{""bookmaker"":""FanDuel"",""bookmaker_key"":""fanduel"",""last_update"":""2026-05-27T19:33:44Z"",""home_moneyline_odds"":1.24,""away_moneyline_odds"":4.3,""home_spread_line"":-1.5,""home_spread_odds"":1.6,""total_line"":8.0,""over_odds"":1.96,""under_odds"":1.85},{""bookmaker"":""DraftKings"",""bookmaker_key"":""draftkings"",""last_update"":""2026-05-27T19:33:03Z"",""home_moneyline_odds"":1.24,""away_moneyline_odds"":4.24,""home_spread_line"":-1.5,""home_spread_odds"":1.58,""total_line"":8.0,""over_odds"":1.95,""under_odds"":1.88},{""bookmaker"":""BetMGM"",""bookmaker_key"":""betmgm"",""last_update"":""2026-05-27T19:32:44Z"",""home_moneyline_odds"":1.25,""away_moneyline_odds"":4.1,""home_spread_line"":-2.5,""home_spread_odds"":1.91,""total_line"":8.0,""over_odds"":1.95,""under_odds"":1.87}]",True,PAPER_BET,Dodgers ML,NO BET,UNDER,0.1359,0.0,0.229,0.5236,0.4764,,NO DATA,357.2496,0.000496,-3.13,0.0,1.0,0.2792,-1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
